date,id,description,team1,team2,team1_score,team1_runs,team1_wickets,team2_score,team2_runs,team2_wickets,result,live_score_link,match_overs_link
 March 31 2023,1359475,"1st Match (N), Ahmedabad, March 31, 2023, Indian Premier League",CSK,GT,178/7,178,7,182/5,182,5,Titans won by 5 wickets (with 4 balls remaining),/series/indian-premier-league-2023-1345038/gujarat-titans-vs-chennai-super-kings-1st-match-1359475/live-cricket-score,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-chennai-super-kings-1st-match-1359475/match-overs-comparison
 April 01 2023,1359476,"2nd Match (D/N), Mohali, April 01, 2023, Indian Premier League",PBKS,KKR,191/5,191,5,146/7,146,7,Punjab Kings won by 7 runs (DLS method),/series/indian-premier-league-2023-1345038/punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476/live-cricket-score,/series/indian-premier-league-2023-1345038/punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476/match-overs-comparison
 April 01 2023,1359477,"3rd Match (N), Lucknow, April 01, 2023, Indian Premier League",LSG,DC,193/6,193,6,143/9,143,9,Super Giants won by 50 runs,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-delhi-capitals-3rd-match-1359477/live-cricket-score,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-delhi-capitals-3rd-match-1359477/match-overs-comparison
 April 02 2023,1359478,"4th Match (D/N), Hyderabad, April 02, 2023, Indian Premier League",RR,SRH,203/5,203,5,131/8,131,8,Royals won by 72 runs,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1359478/live-cricket-score,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1359478/match-overs-comparison
 April 02 2023,1359479,"5th Match (N), Bengaluru, April 02, 2023, Indian Premier League",MI,RCB,171/7,171,7,172/2,172,2,RCB won by 8 wickets (with 22 balls remaining),/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-mumbai-indians-5th-match-1359479/live-cricket-score,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-mumbai-indians-5th-match-1359479/match-overs-comparison
 April 03 2023,1359480,"6th Match (N), Chennai, April 03, 2023, Indian Premier League",CSK,LSG,217/7,217,7,205/7,205,7,Super Kings won by 12 runs,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480/live-cricket-score,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480/match-overs-comparison
 April 04 2023,1359481,"7th Match (N), Delhi, April 04, 2023, Indian Premier League",DC,GT,162/8,162,8,163/4,163,4,Titans won by 6 wickets (with 11 balls remaining),/series/indian-premier-league-2023-1345038/delhi-capitals-vs-gujarat-titans-7th-match-1359481/live-cricket-score,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-gujarat-titans-7th-match-1359481/match-overs-comparison
 April 05 2023,1359482,"8th Match (N), Guwahati, April 05, 2023, Indian Premier League",PBKS,RR,197/4,197,4,192/7,192,7,Punjab Kings won by 5 runs,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-punjab-kings-8th-match-1359482/live-cricket-score,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-punjab-kings-8th-match-1359482/match-overs-comparison
 April 06 2023,1359483,"9th Match (N), Eden Gardens, April 06, 2023, Indian Premier League",KKR,RCB,204/7,204,7,123,123,10,KKR won by 81 runs,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-royal-challengers-bangalore-9th-match-1359483/live-cricket-score,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-royal-challengers-bangalore-9th-match-1359483/match-overs-comparison
 April 07 2023,1359484,"10th Match (N), Lucknow, April 07, 2023, Indian Premier League",SRH,LSG,121/8,121,8,127/5,127,5,Super Giants won by 5 wickets (with 24 balls remaining),/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-sunrisers-hyderabad-10th-match-1359484/live-cricket-score,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-sunrisers-hyderabad-10th-match-1359484/match-overs-comparison
 April 08 2023,1359485,"11th Match (D/N), Guwahati, April 08, 2023, Indian Premier League",RR,DC,199/4,199,4,142/9,142,9,Royals won by 57 runs,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-delhi-capitals-11th-match-1359485/live-cricket-score,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-delhi-capitals-11th-match-1359485/match-overs-comparison
 April 08 2023,1359486,"12th Match (N), Wankhede, April 08, 2023, Indian Premier League",MI,CSK,157/8,157,8,159/3,159,3,Super Kings won by 7 wickets (with 11 balls remaining),/series/indian-premier-league-2023-1345038/mumbai-indians-vs-chennai-super-kings-12th-match-1359486/live-cricket-score,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-chennai-super-kings-12th-match-1359486/match-overs-comparison
 April 09 2023,1359487,"13th Match (D/N), Ahmedabad, April 09, 2023, Indian Premier League",GT,KKR,204/4,204,4,207/7,207,7,KKR won by 3 wickets (with 0 balls remaining),/series/indian-premier-league-2023-1345038/gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487/live-cricket-score,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487/match-overs-comparison
 April 09 2023,1359488,"14th Match (N), Hyderabad, April 09, 2023, Indian Premier League",PBKS,SRH,143/9,143,9,145/2,145,2,Sunrisers won by 8 wickets (with 17 balls remaining),/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488/live-cricket-score,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-punjab-kings-14th-match-1359488/match-overs-comparison
 April 10 2023,1359489,"15th Match (N), Bengaluru, April 10, 2023, Indian Premier League",RCB,LSG,212/2,212,2,213/9,213,9,Super Giants won by 1 wicket (with 0 balls remaining),/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-lucknow-super-giants-15th-match-1359489/live-cricket-score,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-lucknow-super-giants-15th-match-1359489/match-overs-comparison
 April 11 2023,1359490,"16th Match (N), Delhi, April 11, 2023, Indian Premier League",DC,MI,172,172,10,173/4,173,4,Mumbai won by 6 wickets (with 0 balls remaining),/series/indian-premier-league-2023-1345038/delhi-capitals-vs-mumbai-indians-16th-match-1359490/live-cricket-score,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-mumbai-indians-16th-match-1359490/match-overs-comparison
 April 12 2023,1359491,"17th Match (N), Chennai, April 12, 2023, Indian Premier League",RR,CSK,175/8,175,8,172/6,172,6,Royals won by 3 runs,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-rajasthan-royals-17th-match-1359491/live-cricket-score,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-rajasthan-royals-17th-match-1359491/match-overs-comparison
 April 13 2023,1359492,"18th Match (N), Mohali, April 13, 2023, Indian Premier League",PBKS,GT,153/8,153,8,154/4,154,4,Titans won by 6 wickets (with 1 ball remaining),/series/indian-premier-league-2023-1345038/punjab-kings-vs-gujarat-titans-18th-match-1359492/live-cricket-score,/series/indian-premier-league-2023-1345038/punjab-kings-vs-gujarat-titans-18th-match-1359492/match-overs-comparison
 April 14 2023,1359493,"19th Match (N), Eden Gardens, April 14, 2023, Indian Premier League",SRH,KKR,228/4,228,4,205/7,205,7,Sunrisers won by 23 runs,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-sunrisers-hyderabad-19th-match-1359493/live-cricket-score,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-sunrisers-hyderabad-19th-match-1359493/match-overs-comparison
 April 15 2023,1359494,"20th Match (D/N), Bengaluru, April 15, 2023, Indian Premier League",RCB,DC,174/6,174,6,151/9,151,9,RCB won by 23 runs,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-delhi-capitals-20th-match-1359494/live-cricket-score,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-delhi-capitals-20th-match-1359494/match-overs-comparison
 April 15 2023,1359495,"21st Match (N), Lucknow, April 15, 2023, Indian Premier League",LSG,PBKS,159/8,159,8,161/8,161,8,Punjab Kings won by 2 wickets (with 3 balls remaining),/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-punjab-kings-21st-match-1359495/live-cricket-score,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-punjab-kings-21st-match-1359495/match-overs-comparison
 April 16 2023,1359496,"22nd Match (D/N), Wankhede, April 16, 2023, Indian Premier League",KKR,MI,185/6,185,6,186/5,186,5,Mumbai won by 5 wickets (with 14 balls remaining),/series/indian-premier-league-2023-1345038/mumbai-indians-vs-kolkata-knight-riders-22nd-match-1359496/live-cricket-score,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-kolkata-knight-riders-22nd-match-1359496/match-overs-comparison
 April 16 2023,1359497,"23rd Match (N), Ahmedabad, April 16, 2023, Indian Premier League",GT,RR,177/7,177,7,179/7,179,7,Royals won by 3 wickets (with 4 balls remaining),/series/indian-premier-league-2023-1345038/gujarat-titans-vs-rajasthan-royals-23rd-match-1359497/live-cricket-score,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-rajasthan-royals-23rd-match-1359497/match-overs-comparison
 April 17 2023,1359498,"24th Match (N), Bengaluru, April 17, 2023, Indian Premier League",CSK,RCB,226/6,226,6,218/8,218,8,Super Kings won by 8 runs,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1359498/live-cricket-score,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-chennai-super-kings-24th-match-1359498/match-overs-comparison
 April 18 2023,1359499,"25th Match (N), Hyderabad, April 18, 2023, Indian Premier League",MI,SRH,192/5,192,5,178,178,10,Mumbai won by 14 runs,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-mumbai-indians-25th-match-1359499/live-cricket-score,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-mumbai-indians-25th-match-1359499/match-overs-comparison
 April 19 2023,1359500,"26th Match (N), Jaipur, April 19, 2023, Indian Premier League",LSG,RR,154/7,154,7,144/6,144,6,Super Giants won by 10 runs,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-lucknow-super-giants-26th-match-1359500/live-cricket-score,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-lucknow-super-giants-26th-match-1359500/match-overs-comparison
 April 20 2023,1359501,"27th Match (D/N), Mohali, April 20, 2023, Indian Premier League",RCB,PBKS,174/4,174,4,150,150,10,RCB won by 24 runs,/series/indian-premier-league-2023-1345038/punjab-kings-vs-royal-challengers-bangalore-27th-match-1359501/live-cricket-score,/series/indian-premier-league-2023-1345038/punjab-kings-vs-royal-challengers-bangalore-27th-match-1359501/match-overs-comparison
 April 20 2023,1359502,"28th Match (N), Delhi, April 20, 2023, Indian Premier League",KKR,DC,127,127,10,128/6,128,6,Capitals won by 4 wickets (with 4 balls remaining),/series/indian-premier-league-2023-1345038/delhi-capitals-vs-kolkata-knight-riders-28th-match-1359502/live-cricket-score,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-kolkata-knight-riders-28th-match-1359502/match-overs-comparison
 April 21 2023,1359503,"29th Match (N), Chennai, April 21, 2023, Indian Premier League",SRH,CSK,134/7,134,7,138/3,138,3,Super Kings won by 7 wickets (with 8 balls remaining),/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-sunrisers-hyderabad-29th-match-1359503/live-cricket-score,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-sunrisers-hyderabad-29th-match-1359503/match-overs-comparison
 April 22 2023,1359504,"30th Match (D/N), Lucknow, April 22, 2023, Indian Premier League",GT,LSG,135/6,135,6,128/7,128,7,Titans won by 7 runs,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-gujarat-titans-30th-match-1359504/live-cricket-score,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-gujarat-titans-30th-match-1359504/match-overs-comparison
 April 22 2023,1359505,"31st Match (N), Wankhede, April 22, 2023, Indian Premier League",PBKS,MI,214/8,214,8,201/6,201,6,Punjab Kings won by 13 runs,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-punjab-kings-31st-match-1359505/live-cricket-score,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-punjab-kings-31st-match-1359505/match-overs-comparison
 April 23 2023,1359506,"32nd Match (D/N), Bengaluru, April 23, 2023, Indian Premier League",RCB,RR,189/9,189,9,182/6,182,6,RCB won by 7 runs,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-rajasthan-royals-32nd-match-1359506/live-cricket-score,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-rajasthan-royals-32nd-match-1359506/match-overs-comparison
 April 23 2023,1359507,"33rd Match (N), Eden Gardens, April 23, 2023, Indian Premier League",CSK,KKR,235/4,235,4,186/8,186,8,Super Kings won by 49 runs,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-chennai-super-kings-33rd-match-1359507/live-cricket-score,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-chennai-super-kings-33rd-match-1359507/match-overs-comparison
 April 24 2023,1359508,"34th Match (N), Hyderabad, April 24, 2023, Indian Premier League",DC,SRH,144/9,144,9,137/6,137,6,Capitals won by 7 runs,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-delhi-capitals-34th-match-1359508/live-cricket-score,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-delhi-capitals-34th-match-1359508/match-overs-comparison
 April 25 2023,1359509,"35th Match (N), Ahmedabad, April 25, 2023, Indian Premier League",GT,MI,207/6,207,6,152/9,152,9,Titans won by 55 runs,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-mumbai-indians-35th-match-1359509/live-cricket-score,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-mumbai-indians-35th-match-1359509/match-overs-comparison
