rank,year,player_url,player_id,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,team,bowler_surname,year_matches_played,year_neg_bowling_clutch_metric,year_pos_bowling_clutch_metric
1,2024,/cricketers/fazalhaq-farooqi-974175,974175,Fazalhaq Farooqi (AFG),2024-2024,8,8,152,25.2,0,160,17,5/9,9.41,6.31,8.94,1,1,AFG,Farooqi,18,-32.19727501061801,3.864566374387008
2,2024,/cricketers/arshdeep-singh-1125976,1125976,Arshdeep Singh (IND),2024-2024,8,8,180,30.0,0,215,17,4/9,12.64,7.16,10.58,1,0,IND,Singh,5,,2.338391540135164
3,2024,/cricketers/jasprit-bumrah-625383,625383,JJ Bumrah (IND),2024-2024,8,8,178,29.4,2,124,15,3/7,8.26,4.17,11.86,0,0,IND,Bumrah,3,,0.9753062117235344
4,2024,/cricketers/anrich-nortje-481979,481979,A Nortje (SA),2024-2024,9,9,210,35.0,0,201,15,4/7,13.40,5.74,14.00,1,0,SA,Nortje,7,-15.23974845593212,1.340961318975224
5,2024,/cricketers/rashid-khan-793463,793463,Rashid Khan (AFG),2024-2024,8,8,174,29.0,0,179,14,4/17,12.78,6.17,12.42,2,0,AFG,Khan,13,-10.92362503161385,3.3582953096863277
6,2024,/cricketers/rishad-hossain-1139523,1139523,Rishad Hossain (BAN),2024-2024,7,7,150,25.0,0,194,14,3/22,13.85,7.76,10.71,0,0,BAN,Hossain,23,-17.62734694580273,3.249839902051194
7,2024,/cricketers/naveen-ul-haq-793447,793447,Naveen-ul-Haq (AFG),2024-2024,8,8,160,26.4,0,160,13,4/26,12.30,6.00,12.30,1,0,AFG,Naveen-ul-Haq,18,-39.98509987808605,4.065323997035506
8,2024,/cricketers/alzarri-joseph-670031,670031,AS Joseph (WI),2024-2024,7,7,147,24.3,0,177,13,4/19,13.61,7.22,11.30,1,0,WI,Joseph,10,-9.080383153138571,2.5580670690155287
9,2024,/cricketers/adam-zampa-379504,379504,A Zampa (AUS),2024-2024,7,7,168,28.0,0,187,13,4/12,14.38,6.67,12.92,1,0,AUS,Zampa,12,-6.148648648648647,5.502268485341336
10,2024,/cricketers/kagiso-rabada-550215,550215,K Rabada (SA),2024-2024,9,9,186,31.0,2,195,13,3/18,15.00,6.29,14.30,0,0,SA,Rabada,6,-3.8577154308617234,1.8074439912182587
11,2024,/cricketers/tabraiz-shamsi-379145,379145,T Shamsi (SA),2024-2024,5,5,101,16.5,0,128,11,4/19,11.63,7.60,9.18,1,0,SA,Shamsi,2,,0.960934029969376
12,2024,/cricketers/andre-russell-276298,276298,AD Russell (WI),2024-2024,7,7,121,20.1,0,141,11,3/31,12.81,6.99,11.00,0,0,WI,Russell,16,-10.84700902812358,1.3871176556295954
13,2024,/cricketers/tanzim-hasan-sakib-1139520,1139520,Tanzim Hasan Sakib (BAN),2024-2024,7,7,144,24.0,2,149,11,4/7,13.54,6.20,13.09,1,0,BAN,Sakib,12,-7.032586980285725,2.3174557966636966
14,2024,/cricketers/keshav-maharaj-267724,267724,KA Maharaj (SA),2024-2024,8,8,168,28.0,0,175,11,3/27,15.90,6.25,15.27,0,0,SA,Maharaj,6,-4.041416165664662,0.9588724593582796
15,2024,/cricketers/hardik-pandya-625371,625371,HH Pandya (IND),2024-2024,8,8,150,25.0,2,191,11,3/20,17.36,7.64,13.63,0,0,IND,Pandya,3,,0.9450212507589556
16,2024,/cricketers/chris-jordan-288992,288992,CJ Jordan (ENG),2024-2024,5,5,83,13.5,0,134,10,4/10,13.40,9.68,8.30,1,0,ENG,Jordan,6,-3.512974051896208,1.0760766279211078
17,2024,/cricketers/kuldeep-yadav-559235,559235,Kuldeep Yadav (IND),2024-2024,5,5,120,20.0,0,139,10,3/19,13.90,6.95,12.00,0,0,IND,Yadav,1,,0.2903711820298589
18,2024,/cricketers/marcus-stoinis-325012,325012,MP Stoinis (AUS),2024-2024,7,6,102,17.0,0,151,10,3/19,15.10,8.88,10.20,0,0,AUS,Stoinis,10,,3.0675183195007296
19,2024,/cricketers/adil-rashid-244497,244497,AU Rashid (ENG),2024-2024,8,8,168,28.0,0,186,10,4/11,18.60,6.64,16.80,1,0,ENG,Rashid,6,-4.910179640718563,4.10178847212781
20,2024,/cricketers/jofra-archer-669855,669855,JC Archer (ENG),2024-2024,8,8,158,26.2,1,190,10,3/12,19.00,7.21,15.80,0,0,ENG,Archer,7,-3.3532934131736534,3.412389010173265
